subject,group,control,period,product,bid,policy,shock,female,age,bmi
2721961,2720001,0,1,chocolate,250,FALSE,FALSE,1,48,28.3987180007303
2721961,2720001,0,2,chocolate,200,FALSE,FALSE,1,48,28.3987180007303
2721961,2720001,0,3,chocolate,200,FALSE,FALSE,1,48,28.3987180007303
2721961,2720001,0,4,chocolate,180,FALSE,FALSE,1,48,28.3987180007303
2721961,2720001,0,5,chocolate,200,TRUE,TRUE,1,48,28.3987180007303
2721961,2720001,0,6,chocolate,200,TRUE,FALSE,1,48,28.3987180007303
2721961,2720001,0,7,chocolate,200,TRUE,FALSE,1,48,28.3987180007303
2721961,2720001,0,8,chocolate,200,TRUE,FALSE,1,48,28.3987180007303
2722428,2720001,0,1,chocolate,100,FALSE,FALSE,1,51,28.5779606767261
2722428,2720001,0,2,chocolate,100,FALSE,FALSE,1,51,28.5779606767261
2722428,2720001,0,3,chocolate,100,FALSE,FALSE,1,51,28.5779606767261
2722428,2720001,0,4,chocolate,100,FALSE,FALSE,1,51,28.5779606767261
2722428,2720001,0,5,chocolate,150,TRUE,TRUE,1,51,28.5779606767261
2722428,2720001,0,6,chocolate,150,TRUE,FALSE,1,51,28.5779606767261
2722428,2720001,0,7,chocolate,150,TRUE,FALSE,1,51,28.5779606767261
2722428,2720001,0,8,chocolate,150,TRUE,FALSE,1,51,28.5779606767261
2722469,2720001,0,1,chocolate,200,FALSE,FALSE,1,56,20.7612456747405
2722469,2720001,0,2,chocolate,199,FALSE,FALSE,1,56,20.7612456747405
2722469,2720001,0,3,chocolate,190,FALSE,FALSE,1,56,20.7612456747405
2722469,2720001,0,4,chocolate,150,FALSE,FALSE,1,56,20.7612456747405
2722469,2720001,0,5,chocolate,210,TRUE,TRUE,1,56,20.7612456747405
2722469,2720001,0,6,chocolate,205,TRUE,FALSE,1,56,20.7612456747405
2722469,2720001,0,7,chocolate,200,TRUE,FALSE,1,56,20.7612456747405
2722469,2720001,0,8,chocolate,200,TRUE,FALSE,1,56,20.7612456747405
2723569,2720001,0,1,chocolate,105,FALSE,FALSE,1,55,20.2847985719502
2723569,2720001,0,2,chocolate,105,FALSE,FALSE,1,55,20.2847985719502
2723569,2720001,0,3,chocolate,120,FALSE,FALSE,1,55,20.2847985719502
2723569,2720001,0,4,chocolate,125,FALSE,FALSE,1,55,20.2847985719502
2723569,2720001,0,5,chocolate,150,TRUE,TRUE,1,55,20.2847985719502
2723569,2720001,0,6,chocolate,150,TRUE,FALSE,1,55,20.2847985719502
2723569,2720001,0,7,chocolate,150,TRUE,FALSE,1,55,20.2847985719502
2723569,2720001,0,8,chocolate,150,TRUE,FALSE,1,55,20.2847985719502
2724054,2720002,0,1,chocolate,120,FALSE,FALSE,0,39,22.4087867693473
2724054,2720002,0,2,chocolate,120,FALSE,FALSE,0,39,22.4087867693473
2724054,2720002,0,3,chocolate,120,FALSE,FALSE,0,39,22.4087867693473
2724054,2720002,0,4,chocolate,120,FALSE,FALSE,0,39,22.4087867693473
2724054,2720002,0,5,chocolate,140,TRUE,TRUE,0,39,22.4087867693473
2724054,2720002,0,6,chocolate,140,TRUE,FALSE,0,39,22.4087867693473
2724054,2720002,0,7,chocolate,140,TRUE,FALSE,0,39,22.4087867693473
2724054,2720002,0,8,chocolate,140,TRUE,FALSE,0,39,22.4087867693473
2724415,2720002,0,1,chocolate,175,FALSE,FALSE,1,51,24.2424242424242
2724415,2720002,0,2,chocolate,175,FALSE,FALSE,1,51,24.2424242424242
2724415,2720002,0,3,chocolate,153,FALSE,FALSE,1,51,24.2424242424242
2724415,2720002,0,4,chocolate,153,FALSE,FALSE,1,51,24.2424242424242
2724415,2720002,0,5,chocolate,185,TRUE,TRUE,1,51,24.2424242424242
