#,Created,Link,1. 1. Admitting that your tastes are different from those of a friend.,2. 2. Going camping in the wilderness.,3. 3. Betting a day’s income at the horse races.,4. 4. Investing 10% of your annual income in a moderate growth mutual fund.,5. 5. Drinking heavily at a social function.,6. 6. Taking some questionable deductions on your income tax return.,7. 7. Disagreeing with an authority figure on a major issue.,8. 8. Betting a day’s income at a high-stake poker game.,9. 9. Having an affair with a married man/woman.,10. 10. Passing off somebody else’s work as your own.,11. 11. Going down a ski run that is beyond your ability.,12. 12. Investing 5% of your annual income in a very speculative stock.,13. 13. Going whitewater rafting at high water in the spring.,14. 14. Betting a day’s income on the outcome of a sporting event.,15. 15. Engaging in unprotected sex.,16. 16. Revealing a friend’s secret to someone else.,17. 17. Driving a car without wearing a seat belt.,18. 18. Investing 10% of your annual income in a new business venture.,19. 19. Taking a skydiving class.,20. 20. Riding a motorcycle without a helmet.,21. 21. Choosing a career that you truly enjoy over a more secure one.,22. 22. Speaking your mind about an unpopular issue in a meeting at work.,23. 23. Sunbathing without sunscreen.,24. 24. Bungee jumping off a tall bridge.,25. 25. Piloting a small plane.,26. 26. Walking home alone at night in an unsafe area of town.,27. 27. Moving to a city far away from your extended family.,28. 28. Starting a new career in your mid-thirties.,29. 29. Leaving your young children alone at home while running an errand.,30. 30. Not returning a wallet you found that contains $200.,"31. On a scale from 0 to 10, where 0 means ""not at all"", and 10 means ""extremely likely"", how likely are you to take risks in general?",32. Which share of your 10 euros would you invest in the RISKY account?,33. Please select the lottery you would like to play,34. How many boxes would you like to collect?,35. Choose once for each row (1. 1/10 good outcome),35. Choose once for each row (10. 10/10 good outcome),35. Choose once for each row (2. 2/10 good outcome),35. Choose once for each row (3. 3/10 good outcome),35. Choose once for each row (4. 4/10 good outcome),35. Choose once for each row (5. 5/10 good outcome),35. Choose once for each row (6. 6/10 good outcome),35. Choose once for each row (7. 7/10 good outcome),35. Choose once for each row (8. 8/10 good outcome),35. Choose once for each row (9. 9/10 good outcome),36. Your gender,37. Please select a nickname to identify your replies without giving away your identity
e2a3f8db-f5fe-4245-ab03-20897e42c939,2023-03-31T09:38:15+00:00,https://my.aidaform.com/form/8r5mtbu7set/response/e2a3f8db-f5fe-4245-ab03-20897e42c939,5 (somewhat likely),5 (somewhat likely),1 (extremely unlikely),6 (moderately likely ),5 (somewhat likely),4 (not sure),5 (somewhat likely),2 (moderately unlikely),2 (moderately unlikely),4 (not sure),4 (not sure),5 (somewhat likely),4 (not sure),1 (extremely unlikely),2 (moderately unlikely),2 (moderately unlikely),1 (extremely unlikely),5 (somewhat likely),6 (moderately likely ),1 (extremely unlikely),6 (moderately likely ),4 (not sure),5 (somewhat likely),6 (moderately likely ),5 (somewhat likely),3 (somewhat unlikely),6 (moderately likely ),5 (somewhat likely),2 (moderately unlikely),4 (not sure),6 (5),20%,4. 10€ if tails -- 1€ if heads,35,1 (option A),2 (option B),1 (option A),1 (option A),1 (option A),1 (option A),1 (option A),1 (option A),2 (option B),2 (option B),M,Roberto
699a1e24-71f2-451e-b2b0-5e52d2bb54d4,2023-03-31T09:37:29+00:00,https://my.aidaform.com/form/8r5mtbu7set/response/699a1e24-71f2-451e-b2b0-5e52d2bb54d4,6 (moderately likely ),7 (extremely likely),1 (extremely unlikely),5 (somewhat likely),5 (somewhat likely),4 (not sure),5 (somewhat likely),1 (extremely unlikely),2 (moderately unlikely),1 (extremely unlikely),3 (somewhat unlikely),2 (moderately unlikely),1 (extremely unlikely),1 (extremely unlikely),4 (not sure),1 (extremely unlikely),1 (extremely unlikely),3 (somewhat unlikely),1 (extremely unlikely),1 (extremely unlikely),6 (moderately likely ),4 (not sure),4 (not sure),1 (extremely unlikely),1 (extremely unlikely),4 (not sure),6 (moderately likely ),6 (moderately likely ),1 (extremely unlikely),3 (somewhat unlikely),8 (7),65%,2. 6€ if tails -- 3€ if heads,40,1 (option A),2 (option B),1 (option A),1 (option A),1 (option A),1 (option A),1 (option A),1 (option A),2 (option B),2 (option B),M,A
322f6a48-4e68-45fc-8fd4-e0c600f27b96,2023-03-31T09:35:46+00:00,https://my.aidaform.com/form/8r5mtbu7set/response/322f6a48-4e68-45fc-8fd4-e0c600f27b96,5 (somewhat likely),3 (somewhat unlikely),3 (somewhat unlikely),3 (somewhat unlikely),1 (extremely unlikely),1 (extremely unlikely),4 (not sure),1 (extremely unlikely),1 (extremely unlikely),1 (extremely unlikely),4 (not sure),1 (extremely unlikely),1 (extremely unlikely),2 (moderately unlikely),1 (extremely unlikely),1 (extremely unlikely),3 (somewhat unlikely),1 (extremely unlikely),5 (somewhat likely),1 (extremely unlikely),5 (somewhat likely),5 (somewhat likely),3 (somewhat unlikely),1 (extremely unlikely),3 (somewhat unlikely),1 (extremely unlikely),5 (somewhat likely),5 (somewhat likely),2 (moderately unlikely),1 (extremely unlikely),3 (2),30%,2. 6€ if tails -- 3€ if heads,30,1 (option A),2 (option B),1 (option A),1 (option A),1 (option A),1 (option A),1 (option A),1 (option A),2 (option B),2 (option B),F,K
0d1cc865-462a-40d8-ae9e-6e0dead2c988,2023-03-31T09:34:10+00:00,https://my.aidaform.com/form/8r5mtbu7set/response/0d1cc865-462a-40d8-ae9e-6e0dead2c988,7 (extremely likely),5 (somewhat likely),2 (moderately unlikely),7 (extremely likely),5 (somewhat likely),3 (somewhat unlikely),5 (somewhat likely),2 (moderately unlikely),1 (extremely unlikely),1 (extremely unlikely),7 (extremely likely),4 (not sure),3 (somewhat unlikely),1 (extremely unlikely),6 (moderately likely ),2 (moderately unlikely),4 (not sure),6 (moderately likely ),3 (somewhat unlikely),5 (somewhat likely),7 (extremely likely),7 (extremely likely),1 (extremely unlikely),4 (not sure),5 (somewhat likely),5 (somewhat likely),5 (somewhat likely),5 (somewhat likely),2 (moderately unlikely),3 (somewhat unlikely),8 (7),10%,2. 6€ if tails -- 3€ if heads,40,1 (option A),1 (option A),2 (option B),1 (option A),1 (option A),2 (option B),2 (option B),2 (option B),1 (option A),1 (option A),M,i'm batman 
951993a9-7f8a-4be6-9a6c-a6cb1a7dcbda,2023-03-31T09:34:03+00:00,https://my.aidaform.com/form/8r5mtbu7set/response/951993a9-7f8a-4be6-9a6c-a6cb1a7dcbda,5 (somewhat likely),6 (moderately likely ),1 (extremely unlikely),6 (moderately likely ),3 (somewhat unlikely),1 (extremely unlikely),3 (somewhat unlikely),1 (extremely unlikely),1 (extremely unlikely),1 (extremely unlikely),5 (somewhat likely),5 (somewhat likely),4 (not sure),1 (extremely unlikely),4 (not sure),7 (extremely likely),2 (moderately unlikely),3 (somewhat unlikely),5 (somewhat likely),1 (extremely unlikely),4 (not sure),3 (somewhat unlikely),5 (somewhat likely),4 (not sure),4 (not sure),3 (somewhat unlikely),4 (not sure),4 (not sure),2 (moderately unlikely),1 (extremely unlikely),5 (4),25%,1. 4€ if tails -- 4€ if heads,25,1 (option A),2 (option B),1 (option A),1 (option A),1 (option A),1 (option A),1 (option A),1 (option A),2 (option B),2 (option B),F,z
7cad1bf7-514e-475d-854b-ea73014cfb37,2023-03-31T09:34:01+00:00,https://my.aidaform.com/form/8r5mtbu7set/response/7cad1bf7-514e-475d-854b-ea73014cfb37,6 (moderately likely ),2 (moderately unlikely),5 (somewhat likely),6 (moderately likely ),5 (somewhat likely),4 (not sure),4 (not sure),5 (somewhat likely),2 (moderately unlikely),2 (moderately unlikely),5 (somewhat likely),3 (somewhat unlikely),4 (not sure),4 (not sure),4 (not sure),2 (moderately unlikely),3 (somewhat unlikely),5 (somewhat likely),6 (moderately likely ),4 (not sure),6 (moderately likely ),5 (somewhat likely),4 (not sure),6 (moderately likely ),6 (moderately likely ),1 (extremely unlikely),4 (not sure),6 (moderately likely ),1 (extremely unlikely),6 (moderately likely ),3 (2),25%,2. 6€ if tails -- 3€ if heads,50,1 (option A),2 (option B),1 (option A),2 (option B),1 (option A),2 (option B),1 (option A),1 (option A),2 (option B),1 (option A),F,A
e9dda690-7169-4aa5-a6b4-b5ee1c7a4cc9,2023-03-31T09:33:33+00:00,https://my.aidaform.com/form/8r5mtbu7set/response/e9dda690-7169-4aa5-a6b4-b5ee1c7a4cc9,5 (somewhat likely),5 (somewhat likely),1 (extremely unlikely),4 (not sure),4 (not sure),3 (somewhat unlikely),4 (not sure),1 (extremely unlikely),3 (somewhat unlikely),1 (extremely unlikely),1 (extremely unlikely),1 (extremely unlikely),5 (somewhat likely),2 (moderately unlikely),1 (extremely unlikely),3 (somewhat unlikely),2 (moderately unlikely),3 (somewhat unlikely),5 (somewhat likely),1 (extremely unlikely),5 (somewhat likely),6 (moderately likely ),6 (moderately likely ),6 (moderately likely ),4 (not sure),5 (somewhat likely),7 (extremely likely),5 (somewhat likely),1 (extremely unlikely),2 (moderately unlikely),5 (4),40%,3. 8€ if tails -- 2€ if heads,50,1 (option A),2 (option B),1 (option A),1 (option A),1 (option A),1 (option A),2 (option B),2 (option B),2 (option B),2 (option B),F,M
f39d364c-5ad2-4f54-9ddf-afcc9b65c483,2023-03-31T09:33:29+00:00,https://my.aidaform.com/form/8r5mtbu7set/response/f39d364c-5ad2-4f54-9ddf-afcc9b65c483,5 (somewhat likely),6 (moderately likely ),2 (moderately unlikely),6 (moderately likely ),3 (somewhat unlikely),3 (somewhat unlikely),3 (somewhat unlikely),2 (moderately unlikely),2 (moderately unlikely),2 (moderately unlikely),7 (extremely likely),5 (somewhat likely),7 (extremely likely),2 (moderately unlikely),2 (moderately unlikely),3 (somewhat unlikely),3 (somewhat unlikely),5 (somewhat likely),1 (extremely unlikely),2 (moderately unlikely),5 (somewhat likely),3 (somewhat unlikely),6 (moderately likely ),2 (moderately unlikely),6 (moderately likely ),6 (moderately likely ),5 (somewhat likely),5 (somewhat likely),2 (moderately unlikely),2 (moderately unlikely),8 (7),60%,3. 8€ if tails -- 2€ if heads,72,1 (option A),2 (option B),1 (option A),1 (option A),1 (option A),1 (option A),2 (option B),2 (option B),2 (option B),2 (option B),F,Veda
bce8d7a3-01cb-4fb5-afc7-12c014a10810,2023-03-31T09:32:58+00:00,https://my.aidaform.com/form/8r5mtbu7set/response/bce8d7a3-01cb-4fb5-afc7-12c014a10810,5 (somewhat likely),7 (extremely likely),1 (extremely unlikely),6 (moderately likely ),4 (not sure),4 (not sure),3 (somewhat unlikely),1 (extremely unlikely),1 (extremely unlikely),1 (extremely unlikely),3 (somewhat unlikely),1 (extremely unlikely),5 (somewhat likely),2 (moderately unlikely),4 (not sure),4 (not sure),1 (extremely unlikely),3 (somewhat unlikely),1 (extremely unlikely),1 (extremely unlikely),2 (moderately unlikely),4 (not sure),3 (somewhat unlikely),1 (extremely unlikely),5 (somewhat likely),2 (moderately unlikely),3 (somewhat unlikely),1 (extremely unlikely),1 (extremely unlikely),4 (not sure),6 (5),100%,3. 8€ if tails -- 2€ if heads,50,1 (option A),2 (option B),1 (option A),1 (option A),1 (option A),1 (option A),2 (option B),2 (option B),2 (option B),2 (option B),M,M
be3682e0-191f-47da-beb2-64efe9aec5e6,2023-03-31T09:32:30+00:00,https://my.aidaform.com/form/8r5mtbu7set/response/be3682e0-191f-47da-beb2-64efe9aec5e6,7 (extremely likely),7 (extremely likely),1 (extremely unlikely),4 (not sure),5 (somewhat likely),2 (moderately unlikely),4 (not sure),2 (moderately unlikely),1 (extremely unlikely),1 (extremely unlikely),6 (moderately likely ),3 (somewhat unlikely),6 (moderately likely ),2 (moderately unlikely),3 (somewhat unlikely),2 (moderately unlikely),1 (extremely unlikely),4 (not sure),6 (moderately likely ),1 (extremely unlikely),4 (not sure),5 (somewhat likely),6 (moderately likely ),5 (somewhat likely),7 (extremely likely),2 (moderately unlikely),5 (somewhat likely),5 (somewhat likely),3 (somewhat unlikely),1 (extremely unlikely),7 (6),15%,3. 8€ if tails -- 2€ if heads,30,1 (option A),2 (option B),1 (option A),1 (option A),1 (option A),1 (option A),1 (option A),1 (option A),2 (option B),2 (option B),M,Filippo
343302c6-d4f6-4d5b-ad71-d1236de57365,2023-03-31T09:32:03+00:00,https://my.aidaform.com/form/8r5mtbu7set/response/343302c6-d4f6-4d5b-ad71-d1236de57365,6 (moderately likely ),5 (somewhat likely),1 (extremely unlikely),6 (moderately likely ),1 (extremely unlikely),4 (not sure),3 (somewhat unlikely),1 (extremely unlikely),1 (extremely unlikely),3 (somewhat unlikely),2 (moderately unlikely),5 (somewhat likely),4 (not sure),1 (extremely unlikely),1 (extremely unlikely),2 (moderately unlikely),1 (extremely unlikely),6 (moderately likely ),6 (moderately likely ),1 (extremely unlikely),4 (not sure),3 (somewhat unlikely),2 (moderately unlikely),6 (moderately likely ),3 (somewhat unlikely),2 (moderately unlikely),4 (not sure),4 (not sure),4 (not sure),4 (not sure),7 (6),56%,5. 12€ if tails -- 0€ if heads,30,1 (option A),2 (option B),2 (option B),2 (option B),1 (option A),2 (option B),2 (option B),2 (option B),2 (option B),2 (option B),F,MoonStar
c8b75aac-8455-417a-85d3-b722a7e95282,2023-03-31T09:31:30+00:00,https://my.aidaform.com/form/8r5mtbu7set/response/c8b75aac-8455-417a-85d3-b722a7e95282,5 (somewhat likely),3 (somewhat unlikely),1 (extremely unlikely),6 (moderately likely ),5 (somewhat likely),1 (extremely unlikely),6 (moderately likely ),5 (somewhat likely),6 (moderately likely ),2 (moderately unlikely),1 (extremely unlikely),3 (somewhat unlikely),5 (somewhat likely),3 (somewhat unlikely),7 (extremely likely),5 (somewhat likely),2 (moderately unlikely),5 (somewhat likely),5 (somewhat likely),1 (extremely unlikely),6 (moderately likely ),6 (moderately likely ),5 (somewhat likely),1 (extremely unlikely),5 (somewhat likely),5 (somewhat likely),3 (somewhat unlikely),5 (somewhat likely),2 (moderately unlikely),1 (extremely unlikely),5 (4),33%,3. 8€ if tails -- 2€ if heads,20,1 (option A),2 (option B),1 (option A),1 (option A),1 (option A),1 (option A),1 (option A),1 (option A),2 (option B),2 (option B),M,Montolivo
