#,Created,Link,1. 1. Admitting that your tastes are different from those of a friend.,2. 2. Going camping in the wilderness.,3. 3. Betting a day’s income at the horse races.,4. 4. Investing 10% of your annual income in a moderate growth mutual fund.,5. 5. Drinking heavily at a social function.,6. 6. Taking some questionable deductions on your income tax return.,7. 7. Disagreeing with an authority figure on a major issue.,8. 8. Betting a day’s income at a high-stake poker game.,9. 9. Having an affair with a married man/woman.,10. 10. Passing off somebody else’s work as your own.,11. 11. Going down a ski run that is beyond your ability.,12. 12. Investing 5% of your annual income in a very speculative stock.,13. 13. Going whitewater rafting at high water in the spring.,14. 14. Betting a day’s income on the outcome of a sporting event.,15. 15. Engaging in unprotected sex.,16. 16. Revealing a friend’s secret to someone else.,17. 17. Driving a car without wearing a seat belt.,18. 18. Investing 10% of your annual income in a new business venture.,19. 19. Taking a skydiving class.,20. 20. Riding a motorcycle without a helmet.,21. 21. Choosing a career that you truly enjoy over a more secure one.,22. 22. Speaking your mind about an unpopular issue in a meeting at work.,23. 23. Sunbathing without sunscreen.,24. 24. Bungee jumping off a tall bridge.,25. 25. Piloting a small plane.,26. 26. Walking home alone at night in an unsafe area of town.,27. 27. Moving to a city far away from your extended family.,28. 28. Starting a new career in your mid-thirties.,29. 29. Leaving your young children alone at home while running an errand.,30. 30. Not returning a wallet you found that contains $200.,"31. On a scale from 0 to 10, where 0 means ""not at all"", and 10 means ""extremely likely"", how likely are you to take risks in general?",32. Which share of your 10 euros would you invest in the RISKY account?,33. Please select the lottery you would like to play,34. How many boxes would you like to collect?,35. Choose once for each row (1. 1/10 good outcome),35. Choose once for each row (10. 10/10 good outcome),35. Choose once for each row (2. 2/10 good outcome),35. Choose once for each row (3. 3/10 good outcome),35. Choose once for each row (4. 4/10 good outcome),35. Choose once for each row (5. 5/10 good outcome),35. Choose once for each row (6. 6/10 good outcome),35. Choose once for each row (7. 7/10 good outcome),35. Choose once for each row (8. 8/10 good outcome),35. Choose once for each row (9. 9/10 good outcome),36. Your gender,37. Please select a nickname to identify your replies without giving away your identity
48a15291-a1c3-43d5-8e95-58ab96eeea32,2024-03-14T13:30:22+00:00,https://my.aidaform.com/form/8r5mtbu7set/response/48a15291-a1c3-43d5-8e95-58ab96eeea32,6 (moderately likely ),6 (moderately likely ),1 (extremely unlikely),6 (moderately likely ),2 (moderately unlikely),2 (moderately unlikely),4 (not sure),1 (extremely unlikely),1 (extremely unlikely),1 (extremely unlikely),6 (moderately likely ),7 (extremely likely),5 (somewhat likely),3 (somewhat unlikely),2 (moderately unlikely),3 (somewhat unlikely),1 (extremely unlikely),6 (moderately likely ),6 (moderately likely ),1 (extremely unlikely),6 (moderately likely ),4 (not sure),6 (moderately likely ),5 (somewhat likely),3 (somewhat unlikely),6 (moderately likely ),5 (somewhat likely),6 (moderately likely ),2 (moderately unlikely),1 (extremely unlikely),4 (3),25%,1. 4€ if tails -- 4€ if heads,15,1 (option A),2 (option B),1 (option A),1 (option A),1 (option A),1 (option A),1 (option A),2 (option B),2 (option B),2 (option B),M,003
8c2b8601-0531-487d-8afe-42236f237a1b,2024-03-14T13:24:28+00:00,https://my.aidaform.com/form/8r5mtbu7set/response/8c2b8601-0531-487d-8afe-42236f237a1b,5 (somewhat likely),2 (moderately unlikely),1 (extremely unlikely),6 (moderately likely ),5 (somewhat likely),1 (extremely unlikely),2 (moderately unlikely),1 (extremely unlikely),1 (extremely unlikely),1 (extremely unlikely),3 (somewhat unlikely),3 (somewhat unlikely),1 (extremely unlikely),1 (extremely unlikely),6 (moderately likely ),2 (moderately unlikely),1 (extremely unlikely),2 (moderately unlikely),1 (extremely unlikely),1 (extremely unlikely),6 (moderately likely ),3 (somewhat unlikely),6 (moderately likely ),1 (extremely unlikely),2 (moderately unlikely),5 (somewhat likely),7 (extremely likely),3 (somewhat unlikely),2 (moderately unlikely),1 (extremely unlikely),5 (4),80%,2. 6€ if tails -- 3€ if heads,75,1 (option A),2 (option B),1 (option A),1 (option A),1 (option A),1 (option A),2 (option B),2 (option B),2 (option B),2 (option B),F,N
c8039d68-d579-4b86-b800-302809e4e5c6,2024-03-14T13:23:59+00:00,https://my.aidaform.com/form/8r5mtbu7set/response/c8039d68-d579-4b86-b800-302809e4e5c6,6 (moderately likely ),5 (somewhat likely),4 (not sure),4 (not sure),6 (moderately likely ),2 (moderately unlikely),5 (somewhat likely),1 (extremely unlikely),5 (somewhat likely),4 (not sure),1 (extremely unlikely),1 (extremely unlikely),1 (extremely unlikely),5 (somewhat likely),2 (moderately unlikely),6 (moderately likely ),1 (extremely unlikely),4 (not sure),2 (moderately unlikely),1 (extremely unlikely),5 (somewhat likely),1 (extremely unlikely),2 (moderately unlikely),1 (extremely unlikely),1 (extremely unlikely),5 (somewhat likely),5 (somewhat likely),4 (not sure),4 (not sure),5 (somewhat likely),6 (5),20%,2. 6€ if tails -- 3€ if heads,40,1 (option A),2 (option B),1 (option A),1 (option A),1 (option A),1 (option A),1 (option A),2 (option B),2 (option B),2 (option B),M,T
cfab858b-b177-4529-affe-6f174e6bcb73,2024-03-14T13:23:26+00:00,https://my.aidaform.com/form/8r5mtbu7set/response/cfab858b-b177-4529-affe-6f174e6bcb73,7 (extremely likely),5 (somewhat likely),4 (not sure),6 (moderately likely ),6 (moderately likely ),4 (not sure),7 (extremely likely),4 (not sure),1 (extremely unlikely),1 (extremely unlikely),3 (somewhat unlikely),5 (somewhat likely),6 (moderately likely ),4 (not sure),3 (somewhat unlikely),1 (extremely unlikely),2 (moderately unlikely),5 (somewhat likely),7 (extremely likely),2 (moderately unlikely),6 (moderately likely ),7 (extremely likely),1 (extremely unlikely),7 (extremely likely),7 (extremely likely),2 (moderately unlikely),6 (moderately likely ),6 (moderately likely ),3 (somewhat unlikely),1 (extremely unlikely),9 (8),70%,2. 6€ if tails -- 3€ if heads,70,1 (option A),2 (option B),1 (option A),1 (option A),2 (option B),2 (option B),2 (option B),2 (option B),2 (option B),2 (option B),F,G
510da96e-1ef4-43b8-a347-f33964d83552,2024-03-14T13:23:22+00:00,https://my.aidaform.com/form/8r5mtbu7set/response/510da96e-1ef4-43b8-a347-f33964d83552,6 (moderately likely ),7 (extremely likely),2 (moderately unlikely),5 (somewhat likely),7 (extremely likely),4 (not sure),6 (moderately likely ),3 (somewhat unlikely),4 (not sure),1 (extremely unlikely),4 (not sure),5 (somewhat likely),6 (moderately likely ),2 (moderately unlikely),7 (extremely likely),1 (extremely unlikely),2 (moderately unlikely),4 (not sure),7 (extremely likely),1 (extremely unlikely),3 (somewhat unlikely),7 (extremely likely),5 (somewhat likely),4 (not sure),5 (somewhat likely),3 (somewhat unlikely),6 (moderately likely ),5 (somewhat likely),1 (extremely unlikely),2 (moderately unlikely),8 (7),50%,3. 8€ if tails -- 2€ if heads,10,1 (option A),2 (option B),1 (option A),1 (option A),1 (option A),1 (option A),1 (option A),2 (option B),2 (option B),2 (option B),F,E
f6683b5c-b033-4b9f-98a6-4b53ef0a64b9,2024-03-14T13:22:24+00:00,https://my.aidaform.com/form/8r5mtbu7set/response/f6683b5c-b033-4b9f-98a6-4b53ef0a64b9,6 (moderately likely ),5 (somewhat likely),4 (not sure),6 (moderately likely ),5 (somewhat likely),4 (not sure),4 (not sure),5 (somewhat likely),1 (extremely unlikely),2 (moderately unlikely),6 (moderately likely ),5 (somewhat likely),2 (moderately unlikely),4 (not sure),5 (somewhat likely),3 (somewhat unlikely),7 (extremely likely),4 (not sure),6 (moderately likely ),1 (extremely unlikely),5 (somewhat likely),3 (somewhat unlikely),7 (extremely likely),6 (moderately likely ),3 (somewhat unlikely),4 (not sure),6 (moderately likely ),4 (not sure),2 (moderately unlikely),2 (moderately unlikely),7 (6),11%,3. 8€ if tails -- 2€ if heads,33,1 (option A),2 (option B),1 (option A),1 (option A),1 (option A),1 (option A),2 (option B),2 (option B),2 (option B),2 (option B),M,555
f4fc3bed-4492-43de-ba18-7a672aa06e73,2024-03-14T13:22:12+00:00,https://my.aidaform.com/form/8r5mtbu7set/response/f4fc3bed-4492-43de-ba18-7a672aa06e73,7 (extremely likely),6 (moderately likely ),2 (moderately unlikely),6 (moderately likely ),3 (somewhat unlikely),4 (not sure),7 (extremely likely),1 (extremely unlikely),4 (not sure),1 (extremely unlikely),7 (extremely likely),2 (moderately unlikely),1 (extremely unlikely),4 (not sure),1 (extremely unlikely),1 (extremely unlikely),6 (moderately likely ),5 (somewhat likely),7 (extremely likely),1 (extremely unlikely),6 (moderately likely ),6 (moderately likely ),6 (moderately likely ),2 (moderately unlikely),2 (moderately unlikely),1 (extremely unlikely),7 (extremely likely),7 (extremely likely),2 (moderately unlikely),1 (extremely unlikely),8 (7),50%,3. 8€ if tails -- 2€ if heads,46,2 (option B),1 (option A),2 (option B),1 (option A),2 (option B),2 (option B),1 (option A),2 (option B),2 (option B),1 (option A),F,i love economics
83efe404-60fb-4f81-a787-df7ad44e5761,2024-03-14T13:21:45+00:00,https://my.aidaform.com/form/8r5mtbu7set/response/83efe404-60fb-4f81-a787-df7ad44e5761,1 (extremely unlikely),7 (extremely likely),1 (extremely unlikely),1 (extremely unlikely),1 (extremely unlikely),1 (extremely unlikely),5 (somewhat likely),1 (extremely unlikely),7 (extremely likely),1 (extremely unlikely),5 (somewhat likely),1 (extremely unlikely),5 (somewhat likely),1 (extremely unlikely),1 (extremely unlikely),7 (extremely likely),7 (extremely likely),1 (extremely unlikely),7 (extremely likely),1 (extremely unlikely),7 (extremely likely),7 (extremely likely),7 (extremely likely),1 (extremely unlikely),5 (somewhat likely),1 (extremely unlikely),7 (extremely likely),7 (extremely likely),7 (extremely likely),1 (extremely unlikely),1 (0. not at all),0%,1. 4€ if tails -- 4€ if heads,90,1 (option A),2 (option B),1 (option A),1 (option A),1 (option A),1 (option A),1 (option A),1 (option A),1 (option A),2 (option B),M,CarlitosDiBonifacio
8ae988ed-4d6b-440f-8a37-0ea9d0490e47,2024-03-14T13:21:26+00:00,https://my.aidaform.com/form/8r5mtbu7set/response/8ae988ed-4d6b-440f-8a37-0ea9d0490e47,7 (extremely likely),1 (extremely unlikely),3 (somewhat unlikely),5 (somewhat likely),1 (extremely unlikely),2 (moderately unlikely),3 (somewhat unlikely),1 (extremely unlikely),5 (somewhat likely),1 (extremely unlikely),1 (extremely unlikely),2 (moderately unlikely),2 (moderately unlikely),4 (not sure),6 (moderately likely ),5 (somewhat likely),5 (somewhat likely),5 (somewhat likely),7 (extremely likely),1 (extremely unlikely),5 (somewhat likely),5 (somewhat likely),5 (somewhat likely),3 (somewhat unlikely),5 (somewhat likely),2 (moderately unlikely),7 (extremely likely),7 (extremely likely),3 (somewhat unlikely),1 (extremely unlikely),4 (3),63%,3. 8€ if tails -- 2€ if heads,30,2 (option B),2 (option B),1 (option A),1 (option A),2 (option B),1 (option A),1 (option A),1 (option A),1 (option A),1 (option A),F,AT
0c5f9f07-5daa-431e-bf08-e789f44f28c6,2024-03-14T13:20:49+00:00,https://my.aidaform.com/form/8r5mtbu7set/response/0c5f9f07-5daa-431e-bf08-e789f44f28c6,5 (somewhat likely),5 (somewhat likely),5 (somewhat likely),5 (somewhat likely),1 (extremely unlikely),2 (moderately unlikely),3 (somewhat unlikely),3 (somewhat unlikely),2 (moderately unlikely),3 (somewhat unlikely),2 (moderately unlikely),2 (moderately unlikely),2 (moderately unlikely),5 (somewhat likely),1 (extremely unlikely),3 (somewhat unlikely),3 (somewhat unlikely),2 (moderately unlikely),3 (somewhat unlikely),2 (moderately unlikely),5 (somewhat likely),5 (somewhat likely),1 (extremely unlikely),1 (extremely unlikely),2 (moderately unlikely),2 (moderately unlikely),6 (moderately likely ),3 (somewhat unlikely),1 (extremely unlikely),2 (moderately unlikely),6 (5),50%,2. 6€ if tails -- 3€ if heads,5,1 (option A),2 (option B),1 (option A),1 (option A),1 (option A),1 (option A),2 (option B),2 (option B),2 (option B),2 (option B),F,58
